"Name";"Description";"BatteryStatus";"ExtID"
"EG Raum A2";;100;"BC665DD9E52A9FC9090008D99FE36AE8"
"Office";;100;"4B696BBED2CBBDCC2E8008D99FE38739"
"Eingang Bürotrakt";;100;"AFC1019CC0E301CF5E0008D99FE3CFCB"
"EG Raum A1";;100;"8760E2E636815ECE3D0008D99FE3F844"
"Küche";;100;"9B058CFE4A7D0FC0E28008D99FE4406F"
"Lager Service";;100;"882F6D72B7970CCCD60008D99FE45A00"
"Lager Doppelflügel";;100;"B8461FD1812360C9C40008D99FE4705F"
"Eingang Foyer";;100;"C5B386788576F9CCEF0008D99FE4821C"
"Verbindung EG - Büro";"Verbindung Foyer - EG Büro";100;"51F18D63BCA8B3C75E8008D99FE4AA6D"
"Backstage";;100;"9439C5E9EB3F77C6148008D99FE4BE2B"
"OG Raum B3";;100;"CDEF6E2152B7BEC2F08008D99FE4D6C1"
"OG Raum B2";;100;"1077D2B17F9F1BC9730008D99FE4FD65"
"Media";;100;"0B6ED753C525F3C1170008D99FE50AA6"
"OG Raum B1";;100;"95E3F7EBCFDD30C1868008D99FE52619"
"Serverraum";;100;"15F71E34543F4BC1BA0008D99FE534F1"
"Verbindung OG - Korridor";"Verbindung Foyer Treppe - OG Korridor";100;"FB16637F09984CCBC68008D99FE54120"
"Verbindung OG - Bühne";"Verbindung OG - Bühne";100;"FC8989BA969524C4D50008D9B3569DF7"
"Übersetzer Raum";;80;"77988A61DC1E0AC5BA0008DB50B59AD9"
